host_response_rate,host_acceptance_rate,latitude,longitude,bedrooms,beds,minimum_nights,accommodates,price,review_scores_rating,number_of_reviews
100,0,49.26557,-123.096,1,1,30,2,51,91,118
100,100,49.27569,-123.07057,1,1,1,2,79,100,390
90,40,49.28299,-123.13008,1,1,30,2,50,91,121
100,100,49.23361,-123.05283,1,1,2,1,43,94,331
100,76,49.2729,-123.06973,1,1,2,2,75,94,419
NA,NA,49.24401,-123.04772,1,1,30,1,45,90,53
89,100,49.24356,-123.04757,1,1,30,2,40,92,41
100,NA,49.23273,-123.02747,1,1,2,2,70,99,72
100,0,49.27799,-123.07101,1,1,30,1,48,94,57
100,100,49.2332,-123.0551,1,1,1,1,80,94,209
100,60,49.27917,-123.06246,1,1,30,2,80,98,187
NA,100,49.26775,-123.06862,1,1,30,2,82,97,57
100,55,49.24438,-123.04453,1,1,5,2,51,95,179
100,92,49.26355,-123.17326,1,1,14,2,47,98,62
100,50,49.25804,-123.12119,1,1,30,2,75,91,22
100,100,49.28618,-123.05403,1,1,31,2,84,93,63
100,100,49.25785,-123.12199,1,1,6,2,79,90,51
85,78,49.26648,-123.15939,1,1,4,2,55,100,5
100,97,49.25674,-123.0874,1,1,2,2,70,96,271
93,36,49.29258,-123.13446,1,1,30,2,55,89,11
NA,NA,49.23006,-123.07151,1,1,180,2,55,97,91
100,100,49.2726,-123.06988,1,1,30,2,50,94,73
100,100,49.26957,-123.04828,1,1,2,2,72,98,37
90,40,49.27871,-123.11681,1,1,180,2,80,96,49
90,40,49.282470000000004,-123.13068,1,1,30,2,50,89,64
100,33,49.28164,-123.11006,1,1,30,2,79,85,14
100,92,49.25225,-123.10756,1,1,30,2,75,96,131
0,75,49.22757,-123.10926,1,1,1,3,79,85,254
93,93,49.24958,-123.0359,1,1,31,1,65,96,22
75,75,49.26933,-123.16177,1,1,31,2,58,97,7
100,NA,49.27942,-123.12219,1,1,31,1,42,95,62
100,89,49.22718,-123.0552,1,1,30,1,50,91,19
100,88,49.27955,-123.12392,1,2,30,4,81,87,95
100,95,49.25701,-123.09179,2,4,2,4,82,98,254
100,100,49.25877,-123.08299,1,1,30,2,75,99,47
100,50,49.25865,-123.12294,1,1,30,2,65,95,5
90,96,49.2883,-123.04216,1,1,1,2,45,91,63
