host_response_rate,host_acceptance_rate,latitude,longitude,bedrooms,beds,minimum_nights,accommodates,price,review_scores_rating,number_of_reviews
93%,87%,49.28872,-123.12046,2,2,90,5,$150.00,93,16
100%,57%,49.28201,-123.12669,1,1,30,2,$85.00,93,430
100%,78%,49.25622,-123.06607,1,1,30,2,$145.00,98,88
100%,N/A,49.24922,-123.08139,1,2,3,4,$140.00,95,33
N/A,N/A,49.27721,-123.04086,2,3,3,4,$195.00,96,5
0%,N/A,49.26339,-123.07145,3,4,30,6,$100.00,80,3
N/A,N/A,49.25277,-123.03774,4,5,4,8,$130.00,100,5
N/A,N/A,49.26132,-123.10845,1,1,3,2,$94.00,92,194
100%,0%,49.26557,-123.096,1,1,30,2,$51.00,91,118
100%,100%,49.27569,-123.07057,1,1,1,2,$79.00,100,390
100%,0%,49.2733,-123.16457,NA,1,2,2,$439.00,82,14
90%,40%,49.28299,-123.13008,1,1,30,2,$50.00,91,121
100%,67%,49.26018,-123.13477,1,1,30,2,$128.00,94,37
100%,100%,49.25636,-123.08636,2,2,30,3,$69.00,96,74
100%,100%,49.23361,-123.05283,1,1,2,1,$43.00,94,331
100%,100%,49.23442,-123.05307,1,1,28,2,$90.00,95,214
N/A,N/A,49.21264,-123.13258,1,2,30,2,$150.00,93,24
100%,75%,49.26216,-123.1715,2,3,30,6,$200.00,100,16
100%,100%,49.28086,-123.12375,1,2,30,4,$159.00,95,35
100%,100%,49.2792,-123.105,1,2,30,3,$100.00,87,80
100%,92%,49.24677,-123.1048,1,2,4,4,$110.00,99,52
100%,73%,49.27743,-123.11869,2,2,30,4,$132.00,94,76
100%,76%,49.2729,-123.06973,1,1,2,2,$75.00,94,419
100%,100%,49.28036,-123.1234,1,2,30,3,$159.00,95,29
100%,N/A,49.23653,-123.02664,1,1,60,2,$100.00,NA,0
N/A,N/A,49.26778,-123.14674,NA,1,31,2,"$1,950.00",98,9
0%,N/A,49.27462,-123.12426,1,1,90,4,$89.00,97,37
N/A,100%,49.27836,-123.08716,2,2,3,4,$200.00,99,22
N/A,N/A,49.27345,-123.07031,2,2,7,4,$210.00,98,12
100%,100%,49.27591,-123.12359,1,1,30,3,$121.00,94,14
100%,100%,49.2452,-123.16544,1,2,2,3,$100.00,96,641
88%,90%,49.22395,-123.07904,NA,1,30,2,$150.00,96,474
N/A,100%,49.27936,-123.12443,1,1,30,2,$110.00,98,267
100%,0%,49.26758,-123.06016,2,2,3,3,$125.00,93,103
100%,100%,49.24615,-123.09462,1,0,2,3,$85.00,94,496
N/A,N/A,49.24401,-123.04772,1,1,30,1,$45.00,90,53
89%,100%,49.24356,-123.04757,1,1,30,2,$40.00,92,41
100%,71%,49.26382,-123.10484,1,2,6,2,$95.00,96,115
100%,100%,49.25757,-123.18966,3,3,4,6,$150.00,97,153
N/A,N/A,49.28034,-123.12648,2,2,3,4,$300.00,97,7
100%,0%,49.27857,-123.0899,1,2,30,2,$90.00,96,116
100%,80%,49.25808,-123.16824,1,1,30,4,$131.00,98,57
100%,100%,49.2719,-123.15043,2,2,3,4,$135.00,92,201
50%,67%,49.27955,-123.11857,1,2,30,4,$102.00,91,10
60%,N/A,49.29103,-123.05782,2,0,31,3,$100.00,100,1
N/A,N/A,49.28375,-123.10383,1,1,14,2,$225.00,98,68
100%,75%,49.26293,-123.17143,2,4,2,7,$250.00,100,11
0%,100%,49.27839,-123.12852,1,2,120,4,$99.00,96,52
50%,67%,49.27263,-123.12074,1,1,30,2,$110.00,NA,0
93%,87%,49.28906,-123.12505,3,3,90,6,$197.00,100,2
100%,N/A,49.23273,-123.02747,1,1,2,2,$70.00,99,72
